world_rank,institution,country,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,year
186,University of Lausanne,Switzerland,0.0219,0.276,0.7456,1.0,0.2342,0.101,0.1406,0.1161,0.7839,0.0663,2015
187,Iowa State University,USA,0.3509,0.7787,0.3269,0.4977,0.1502,0.1788,0.0999,0.1832,0.3885,0.0659,2015
188,Joseph Fourier University,France,0.0307,0.5301,1.0,1.0,0.1091,0.0929,0.2873,0.1692,0.1828,0.0659,2015
189,Wayne State University,USA,0.3553,1.0,0.3216,1.0,0.1882,0.2596,0.1529,0.1752,0.1333,0.0652,2015
190,University of South Florida - Tampa,USA,0.3596,1.0,0.7367,1.0,0.2322,0.2525,0.2417,0.1632,0.0793,0.065,2015
191,Zhejiang University,China,0.0132,1.0,0.5442,1.0,0.0701,0.2919,0.4525,0.2643,0.1207,0.065,2015
192,Hanyang University,South Korea,0.0219,1.0,0.2951,1.0,0.2853,0.4747,0.4525,0.3954,0.0345,0.064,2015
193,University of Ottawa,Canada,0.0351,0.6066,0.2862,1.0,0.1702,0.1949,0.2602,0.1331,0.569,0.064,2015
194,University of Missouri–Columbia,USA,0.364,0.6803,0.1537,0.447,0.2212,0.2273,0.1973,0.2412,0.1713,0.0638,2015
195,Fudan University,China,0.0175,1.0,0.3569,1.0,0.1111,0.2535,0.4525,0.2032,0.1402,0.0632,2015
196,University of Kansas,USA,0.3684,0.6202,0.159,1.0,0.2112,0.1616,0.1973,0.2342,0.1448,0.0625,2015
197,University of Cologne,Germany,0.0482,1.0,0.2314,0.9217,0.2032,0.1384,0.1788,0.1602,0.4828,0.0625,2015
198,University of Georgia,USA,0.3728,0.2514,0.3304,0.788,0.1802,0.1323,0.2873,0.2553,0.0931,0.0622,2015
199,University of Liverpool,United Kingdom,0.0614,0.4781,0.3145,0.9493,0.1532,0.1727,0.1566,0.1732,0.4322,0.062,2015
200,University of Bern,Switzerland,0.0263,0.5,0.9276,0.977,0.1622,0.1283,0.1134,0.1582,0.4966,0.062,2015
201,Cardiff University,United Kingdom,0.0658,0.8743,0.3834,0.6544,0.1772,0.1535,0.1788,0.1692,0.2207,0.0615,2015
202,George Washington University,USA,0.3772,0.5219,0.0972,1.0,0.3003,0.2283,0.3243,0.2342,0.3736,0.0615,2015
203,University of Illinois at Chicago,USA,0.3816,1.0,0.9541,1.0,0.1251,0.197,0.3527,0.1782,0.1471,0.0602,2015
